rank,candidate_id,name,segment,url,stage0_priority,coverage,technical_age,seo_material,asset_strength,contact_gap,feasibility,commercial_probability
20,CAND-ACCOUNT-REC-12,"CONASC Contadores Associados",accounting_b2b,https://www.conasc.com.br/,59.8,100,26,11.5,12.8,3,9.2,
21,CAND-ACCOUNT-REC-18,"Trust Contabilidade",accounting_b2b,https://trustcontabilidade.com.br/escritorio-de-contabilidade-em-recife-pe/,59.4,100,19,16.5,17.6,0,8.4,
22,CAND-LEGAL-REC-01,"Brito Advocacia Empresarial",legal_b2b,https://advocaciabrito.adv.br/,58.5,100,15,17.5,20,0,9.6,
23,CAND-ACCOUNT-REC-07,"RHENTALL Contabilidade",accounting_b2b,https://rhentall.com.br/,57.2,100,12,15,20,8,9.2,
24,CAND-LEGAL-REC-19,"Urbano Vitalino Advogados",legal_b2b,https://www.urbanovitalino.com.br/,54.3,100,10,15,20,7,9.2,
25,CAND-ACCOUNT-REC-11,"S.R. Contabilidade",accounting_b2b,https://sousrcontabilidade.com/solucoes-financeiras/bpo-financeiro.html,53.7,100,9,16.5,14.9,11,8.8,
26,CAND-ACCOUNT-REC-16,"DUX Contabilidade / Controladoria",accounting_b2b,https://duxcontroladoria.com.br/,52.6,100,13,15,20,0,8.4,
27,CAND-ACCOUNT-REC-09,"Calado Assessoria Contábil",accounting_b2b,https://calado.cnt.br/,51.9,100,7,17.5,19,5,9.2,
28,CAND-LEGAL-REC-16,"Paes Barreto Advogados",legal_b2b,https://paesbarreto.adv.br/areas-de-atuacao/empresarial,49.2,100,23,6,1.4,15,9.6,
29,CAND-LEGAL-REC-04,"L Lopes Advogados Associados",legal_b2b,https://llopes.adv.br/,44.5,100,4,15,16.9,6,9.2,
30,CAND-LEGAL-REC-07,"DQG Advocacia",legal_b2b,https://dqgadvocacia.adv.br/,44.3,100,20,8.5,4,6,8.4,
31,CAND-LEGAL-REC-03,"JHN Advogados Associados",legal_b2b,https://jhn.jur.adv.br/,40.7,100,0,15,16.9,7,9.2,
32,CAND-LEGAL-REC-25,"Martinez & Martinez Advogados",legal_b2b,https://martinezadvogados.com.br/,40.7,100,7,11.5,13.6,6,8.4,
33,CAND-ACCOUNT-REC-17,"Targus Soluções",accounting_b2b,https://www.targuscont.com.br/,40.3,100,11,7,10.2,11,8.4,
34,CAND-LEGAL-REC-18,"ABVM Advogados Associados",legal_b2b,https://www.abraz.adv.br/,39.3,100,11,9.5,8,7,8.8,
35,CAND-LEGAL-REC-06,"Carvalho Maciel Advogados",legal_b2b,https://carvalhoemaciel.com.br/,36.1,100,16,6,5.4,3,9.2,
36,CAND-LEGAL-REC-14,"Paulo Alencar Advocacia",legal_b2b,https://pauloalencar.adv.br/,31.9,100,5,6,5.3,15,9.6,
37,CAND-LEGAL-REC-23,"Donato Advocacia",legal_b2b,https://www.donato.adv.br/,29.3,100,14,3.5,3.7,3,8.8,
38,CAND-LEGAL-REC-15,"Pragana Advocacia",legal_b2b,https://pragana.adv.br/,27.5,100,9,6,7.3,0,8.8,
39,CAND-ACCOUNT-REC-08,"ACENE Contabilidade",accounting_b2b,https://acene.recife.br/,26.4,100,5,6,5.9,7,8.4,
40,CAND-LEGAL-REC-05,"Vasconcelos Advocacia (VASADV)",legal_b2b,https://www.vasadv.com/,25.9,100,10,3.5,4,4,9.2,
41,CAND-ACCOUNT-REC-21,"Monteiro Solução Contábil",accounting_b2b,https://www.contabilmonteiro.com.br/,22.3,100,0,7,8,5,8.4,
42,CAND-LEGAL-REC-08,"Cossart & Mussalem",legal_b2b,https://www.acm.adv.br/,19.5,100,6,3.5,4.7,0,9.6,
