candidate_id,observed_name,segment,geography_layer,neighborhood_or_city,official_url,prospect_scope,home_observed,evidence_coverage_percent,evidence_priority_score,technical_gap,contact_gap,asset_strength,seo_material,pas_opportunity,feasibility,visual_gap,search_demand,next_gate,limitation,evidence_priority_rank
"CAND-ACCOUNT-REC-15","Coutinho Contabilidade","accounting_b2b","recife","Prado","https://coutinho.com.br/","true","true","85","62.2","5","4","18.6","16.5",,"8.8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","19"
"CAND-ACCOUNT-REC-16","DUX Contabilidade / Controladoria","accounting_b2b","recife","bairro pendente","https://duxcontroladoria.com.br/","true","true","85","51.1","0","0","20","15",,"8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","33"
"CAND-ACCOUNT-REC-17","Targus Soluções","accounting_b2b","recife","bairro pendente","https://www.targuscont.com.br/","true","true","85","50.1","6","11","10.2","7",,"8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","35"
"CAND-ACCOUNT-REC-18","Trust Contabilidade","accounting_b2b","recife","bairro pendente","https://trustcontabilidade.com.br/escritorio-de-contabilidade-em-recife-pe/","true","true","100","50","5","0","17.6","16.5","2.5","8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","36"
"CAND-ACCOUNT-REC-19","Barral Contabilidade","accounting_b2b","recife","bairro pendente","https://barralcontabilidade.com.br/","true","false","50",,,,"0","0",,"2.4",,,"access_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-ACCOUNT-REC-20","Saires Contabilidade","accounting_b2b","recife","bairro pendente","https://sairescontabil.com.br/","true","true","85","68.1","5","7","20","17.5",,"8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","13"
"CAND-ACCOUNT-REC-21","Monteiro Solução Contábil","accounting_b2b","recife","bairro pendente","https://www.contabilmonteiro.com.br/","true","true","85","41.7","7","5","8","7",,"8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","38"
"CAND-ACCOUNT-REC-22","Matriz Contábil","accounting_b2b","recife","bairro pendente","https://br.linkedin.com/company/matriz-contabil","true","true","85","56","0","7","18.6","14",,"8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","26"
"CAND-ACCOUNT-REC-23","Open Contabilidade","accounting_b2b","recife","bairro pendente","https://www.linkedin.com/company/opencontabilidade","true","true","85","38.4","0","10","7.6","7",,"8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","43"
"CAND-ACCOUNT-REC-24","Advice Consultores","accounting_b2b","recife","bairro pendente","https://www.linkedin.com/company/advice-consultores-pe","true","true","85","40.9","0","7","12.8","7",,"8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","39"
"CAND-ACCOUNT-REC-25","Sá Leitão Auditores e Consultores","accounting_b2b","recife","Ilha do Leite","https://saleitao.com.br/","true","true","85","65.8","5","5","20","17.5",,"8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","15"
"CAND-LEGAL-INT-01","Latham & Watkins","legal_b2b","international_reference","Estados Unidos","https://www.lw.com/en/about-us","false","true","85","35.6","4","12","4.1","1",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-LEGAL-INT-02","Kirkland & Ellis","legal_b2b","international_reference","Estados Unidos","https://www.kirkland.com/content/about-kirkland","false","true","85","36.5","4","7","8.8","2",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-LEGAL-INT-03","Clifford Chance","legal_b2b","international_reference","Reino Unido","https://www.cliffordchance.com/about_us.html","false","true","100","45.8","4","7","15.5","7.5","2.6","9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-LEGAL-NAT-01","Mattos Filho","legal_b2b","national_reference","São Paulo","https://www.mattosfilho.com.br/","false","false","50",,,,"0","0",,"3.2",,,"access_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-LEGAL-NAT-02","Pinheiro Neto Advogados","legal_b2b","national_reference","São Paulo","https://www.pn.com.br/","false","false","50",,,,"0","0",,"2.8",,,"access_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-LEGAL-NAT-03","Machado Meyer","legal_b2b","national_reference","São Paulo","https://www.machadomeyer.com.br/pt/quem-somos/sobre-nos","false","true","85","55.1","2","7","17.1","11.5",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-LEGAL-NAT-04","TozziniFreire","legal_b2b","national_reference","São Paulo","https://tozzinifreire.com.br/","false","true","85","56.7","0","4","20","15",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-LEGAL-NAT-05","Demarest","legal_b2b","national_reference","São Paulo","https://www.demarest.com.br/nossa-historia/","false","true","100","54.9","5","7","15.7","13","5","9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-LEGAL-REC-01","Brito Advocacia Empresarial","legal_b2b","recife","Boa Viagem","https://advocaciabrito.adv.br/","true","true","100","55.4","5","0","20","17.5","3.3","9.6",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","30"
"CAND-LEGAL-REC-02","Rabelo & Amorim Advogados","legal_b2b","recife","Boa Viagem","https://rabeloadvogados.adv.br/","true","true","85","73.8","10","6","18.3","20",,"8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","7"
"CAND-LEGAL-REC-03","JHN Advogados Associados","legal_b2b","recife","Boa Viagem","https://jhn.jur.adv.br/","true","true","100","62","8","7","16.9","15","5.9","9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","20"
"CAND-LEGAL-REC-04","L Lopes Advogados Associados","legal_b2b","recife","Boa Viagem","https://llopes.adv.br/","true","true","85","60.2","4","6","16.9","15",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","22"
"CAND-LEGAL-REC-05","Vasconcelos Advocacia (VASADV)","legal_b2b","recife","Boa Viagem","https://www.vasadv.com/","true","true","85","24.4","0","4","4","3.5",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","44"
"CAND-LEGAL-REC-06","Carvalho Maciel Advogados","legal_b2b","recife","Boa Viagem","https://carvalhoemaciel.com.br/","true","true","85","40.7","11","3","5.4","6",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","40"
"CAND-LEGAL-REC-07","DQG Advocacia","legal_b2b","recife","Boa Viagem","https://dqgadvocacia.adv.br/","true","true","85","50.4","16","6","4","8.5",,"8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","34"
"CAND-LEGAL-REC-08","Cossart & Mussalem","legal_b2b","recife","Pina","https://www.acm.adv.br/","true","true","85","21","0","0","4.7","3.5",,"9.6",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","46"
"CAND-LEGAL-REC-09","Buril, Tavares & Holanda","legal_b2b","recife","Pina","https://bth.adv.br/","true","false","50",,,,"0","0",,"3.6",,,"access_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-LEGAL-REC-10","Martorelli Advogados","legal_b2b","recife","Pina","https://martorelli.com.br/martorelli/","true","true","85","72.6","11","7","17","17.5",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","8"
"CAND-LEGAL-REC-11","Da Fonte Advogados","legal_b2b","recife","Pina","https://www.dafonteadv.com.br/quem-somos/","true","true","85","66.6","10","15","9","13",,"9.6",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","14"
"CAND-LEGAL-REC-12","Magalhães Advogados","legal_b2b","recife","Ilha do Leite","https://magalhaesadvogados.adv.br/","true","true","85","79.5","16","15","11.4","15.5",,"9.6",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","3"
"CAND-LEGAL-REC-13","Antonio Faria Advogados","legal_b2b","recife","Ilha do Leite","https://antoniofaria.com.br/","true","true","85","70.3","5","11","17.1","17.5",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","9"
"CAND-LEGAL-REC-14","Paulo Alencar Advocacia","legal_b2b","recife","Ilha do Leite","https://pauloalencar.adv.br/","true","true","100","52.7","12","15","5.3","6","4.7","9.6",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","32"
"CAND-LEGAL-REC-15","Pragana Advocacia","legal_b2b","recife","Ilha do Leite","https://pragana.adv.br/","true","true","85","38.9","11","0","7.3","6",,"8.8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","41"
"CAND-LEGAL-REC-16","Paes Barreto Advogados","legal_b2b","recife","Ilha do Leite","https://paesbarreto.adv.br/areas-de-atuacao/empresarial","true","true","85","54.1","14","15","1.4","6",,"9.6",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","31"
"CAND-LEGAL-REC-17","Serur Advogados","legal_b2b","recife","Ilha do Leite","https://serur.com.br/","true","true","100","64.1","7","10","20","15","2.9","9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","17"
"CAND-LEGAL-REC-18","ABVM Advogados Associados","legal_b2b","recife","Boa Vista/Soledade","https://www.abraz.adv.br/","true","true","85","55.7","14","7","8","9.5",,"8.8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","28"
"CAND-LEGAL-REC-19","Urbano Vitalino Advogados","legal_b2b","recife","Santo Amaro","https://www.urbanovitalino.com.br/","true","true","85","60.2","0","7","20","15",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","23"
"CAND-LEGAL-REC-20","Queiroz Cavalcanti Advocacia (QCA)","legal_b2b","recife","Espinheiro","https://www.qca.adv.br/","true","true","85","68.9","0","15","18.9","15",,"9.6",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","12"
"CAND-LEGAL-REC-21","Leonardo Coêlho Advocacia","legal_b2b","recife","Poço da Panela","https://www.leonardocoelho.adv.br/","true","true","100","65.2","1","15","15.9","15","8.7","9.6",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","16"
"CAND-LEGAL-REC-22","EA Advocacia & Compliance","legal_b2b","recife","Casa Forte","https://eaadvogados.adv.br/","true","true","85","84.4","15","10","20","17.5",,"9.2",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","2"
"CAND-LEGAL-REC-23","Donato Advocacia","legal_b2b","recife","Casa Forte","https://www.donato.adv.br/","true","true","85","22.4","0","3","3.7","3.5",,"8.8",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","45"
"CAND-LEGAL-REC-24","Costa Pinto & Fernandes","legal_b2b","recife","Madalena","https://costapintoefernandes.com.br/","true","false","50",,,,"0","0",,"3.2",,,"access_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.",
"CAND-LEGAL-REC-25","Martinez & Martinez Advogados","legal_b2b","recife","bairro pendente","https://martinezadvogados.com.br/","true","true","85","55.9","8","6","13.6","11.5",,"8.4",,,"visual_and_search_review","Priority for deeper review, not commercial rank. Visual quality and search demand are unknown.","27"
